EXP_no,Treatment,d_mO2,d_mO2_er,d_mPOC,d_mPOC_er,d_dic,d_dic_er
EXP1,Control,16.576,20.53078571,20.9970129,7.84678546,-34,6.094522613
EXP1,NaOH,19.86,28.73300044,22.58634192,3.514430152,-17.33333333,3.123800525
EXP5,Control,38.45566667,11.82663952,6.966513758,4.398377776,-32.66666667,11.45393306
EXP5,NaOH,42.20766667,11.07758608,2.285168135,3.61406474,-49,5.7177554
EXP2,Control,53.83733333,17.60962434,50.7366892,2.76165627,-79,3.27837038
EXP2,HCO3,52.01566667,7.578519798,53.05570165,2.794302721,-115.6666667,7.672396457
EXP4,Control,117.1786667,11.34021584,31.97069353,2.406325356,-71,15.96056756
EXP4,HCO3,91.90433333,15.73817109,32.12773115,2.340071014,-105.3333333,18.98129871
EXP6,Control,71.64083333,24.45300482,14.83502228,2.809656317,-56.49487302,11.54467141
EXP6,CaO,-3.423,16.81268719,5.786512513,3.621654378,-4.806221249,13.19601895
EXP7,Control,3.4235,3.9730241,25.36288943,13.343819,-25.81884556,10.13651636
EXP7,CaO,0.978166667,19.37040616,9.022668256,9.966407889,-13.40472303,11.9939874
EXP8,Control,54.8195,4.804991519,7.623700827,6.910884175,-8,24.94784567
EXP8,CaO,43.476,10.34449134,2.608287971,6.405361796,6.333333333,9.300492613
